,SSM_IS,SSM_LSM,SIG40,SLOPE,CURVE,sigf,sigm,siga,incf,incm,inca
2010-03-10 15:05:16.875006,0.312,0.2918000030517578,-8.318648,-0.08628309,3.3613537e-06,-8.294999,-8.377551,-8.283395,42.89502,32.69229,42.89718
2010-03-12 02:03:35.624995,0.344,0.36034000396728516,-7.653273,-0.08617044,-2.5739978e-06,-7.597416,-7.681397,-7.681007,57.24359,46.039486,57.18412
2010-03-12 16:03:48.750023,0.339,0.32702999114990233,-8.081399,-0.08617044,-2.5739978e-06,-8.160241,-7.8369365,-8.247021,62.244335,51.178394,62.383926
2010-03-13 15:43:11.248990,0.355,0.3460900115966797,-7.6743317,-0.08608642,-6.758866e-06,-7.561355,-7.645577,-7.816063,37.877014,28.421164,37.945614
2010-03-14 03:02:09.374997,0.368,0.32380001068115233,-7.7592044,-0.08602444,-8.541125e-06,-7.8916764,-7.671892,-7.714044,50.85724,39.791058,50.77443
2010-03-15 15:01:46.874012,0.345,0.3081800079345703,-7.9869347,-0.08596877,-1.1966797e-05,-8.085604,-7.887045,-7.988156,47.893875,37.117794,47.901047
2010-03-17 02:00:07.498987,0.33,0.2999399948120117,-8.176951,-0.085659586,-4.1878364e-05,-8.327944,-8.141098,-8.0618105,60.442825,49.232525,60.370605
2010-03-17 16:00:20.624980,0.326,0.32980998992919924,-8.349238,-0.085659586,-4.1878364e-05,-8.368575,-8.172159,-8.506981,59.289814,48.16719,59.420647
2010-03-19 02:58:41.249994,0.321,0.2998299980163574,-8.051261,-0.08528381,-7.905275e-05,-8.139822,-8.052226,-7.9617352,46.229847,35.588413,46.147427
2010-03-20 14:58:16.874991,0.312,0.29350000381469726,-8.002559,-0.08511455,-9.322038e-05,-7.8737864,-7.9247985,-8.209089,52.34846,41.22434,52.370487
2010-03-21 02:17:16.874976,0.306,0.2892899894714355,-7.808804,-0.084927745,-0.00010872451,-7.848774,-7.6999235,-7.8777156,39.8614,30.077621,39.843178
2010-03-22 01:56:39.374990,0.34,0.29156999588012694,-7.4148393,-0.08475169,-0.00012391167,-7.4998827,-7.088501,-7.656134,63.2572,52.105534,63.176884
2010-03-22 15:56:52.500017,0.35,0.2903000068664551,-8.455037,-0.08475169,-0.00012391167,-8.26857,-8.395611,-8.700931,55.97955,44.892662,56.101044
2010-03-24 02:55:11.250007,0.345,0.28347000122070315,-8.00077,-0.084295794,-0.000160074,-8.109371,-7.990804,-7.9021335,40.971302,31.003325,40.887276
2010-03-25 14:54:46.875003,0.333,0.2827799987792969,-8.150699,-0.084026255,-0.00018044557,-8.286374,-7.947046,-8.218677,56.242546,44.94061,56.274853
2010-03-26 02:13:48.750014,0.329,0.30190000534057615,-8.046956,-0.08380999,-0.00019400737,-8.3285675,-7.7478,-8.064503,45.06456,34.60913,45.035545
2010-03-27 15:53:24.374009,0.324,0.2872100067138672,-8.361664,-0.08362104,-0.00020507372,-8.301047,-8.425762,-8.358181,52.257786,41.291134,52.365643
2010-03-28 03:12:26.249020,0.317,0.28420000076293944,-8.206552,-0.08342323,-0.00021548438,-8.14606,-8.242506,-8.2310915,61.818233,50.39369,61.737892
2010-03-30 14:51:16.875016,0.34,0.2812299919128418,-8.215462,-0.08297609,-0.00023464601,-8.122594,-8.194962,-8.32883,59.73724,48.37085,59.764587
2010-03-31 02:10:18.749986,0.332,0.27795000076293946,-8.181453,-0.08276398,-0.00024543327,-8.479384,-8.006026,-8.058946,49.635166,38.769146,49.604557
2010-04-01 15:49:54.374987,0.315,0.2749499893188477,-7.955198,-0.0826246,-0.0002523617,-7.76691,-7.939155,-8.159529,48.06683,37.366177,48.160847
2010-04-02 03:08:56.249998,0.302,0.2708699989318848,-7.963857,-0.08249935,-0.00025862252,-7.9829054,-7.9954085,-7.9132586,58.568733,47.151485,58.481487
2010-04-03 15:08:33.750019,0.282,0.3230799865722656,-7.8698173,-0.08237316,-0.00026551596,-7.764968,-7.800388,-8.044096,37.294365,27.953735,37.28873
2010-04-04 14:47:46.874988,0.267,0.2927899932861328,-8.004008,-0.08225724,-0.0002710205,-7.8725166,-8.131542,-8.007965,62.86823,51.510307,62.88918
2010-04-05 02:06:50.624983,0.251,0.28621999740600584,-7.9099174,-0.08212677,-0.00027635365,-8.003338,-7.779185,-7.94723,53.71214,42.5986,53.663864
2010-04-06 15:46:26.250025,0.234,0.27921998977661133,-7.7649474,-0.0820011,-0.00028136888,-7.914705,-7.7251754,-7.6549616,43.263943,33.054363,43.343792
2010-04-07 03:05:26.250010,0.216,0.27327999114990237,-7.7953544,-0.08187543,-0.00028618833,-7.7378554,-7.8575444,-7.790663,54.940662,43.634033,54.859375
2010-04-08 15:05:01.875007,0.194,0.34461997985839843,-8.1085205,-0.08175621,-0.00029185408,-8.0712385,-8.147518,-8.106803,42.89065,32.69847,42.89479
2010-04-10 02:03:20.623990,0.235,0.2861299896240234,-8.225758,-0.08144559,-0.00031012594,-8.119666,-8.36335,-8.194257,57.271202,46.06677,57.215454
2010-04-10 16:03:33.749983,0.231,0.2845400047302246,-8.133443,-0.08144559,-0.00031012594,-8.047929,-7.9867706,-8.365629,62.251152,51.18547,62.39107
2010-04-11 15:42:56.249997,0.215,0.27900999069213867,-7.9982343,-0.08126822,-0.00032639998,-7.9420404,-7.996199,-8.056463,37.835117,28.38774,37.895336
2010-04-12 03:01:54.374998,0.204,0.27469999313354493,-8.16982,-0.081094354,-0.00034839477,-8.276189,-8.226859,-8.006413,50.83916,39.775997,50.759537
2010-04-13 15:01:31.875019,0.188,0.27044000625610354,-8.1074705,-0.0808811,-0.00038031975,-8.130638,-8.221891,-7.9698815,47.909176,37.13503,47.928368
2010-04-15 01:59:52.499993,0.166,0.2648699951171875,-8.302105,-0.08037775,-0.00045088114,-8.17751,-8.383236,-8.345569,60.486263,49.27732,60.420174
2010-04-15 16:00:03.748990,0.164,0.2653999900817871,-7.9280453,-0.08037775,-0.00045088114,-7.9937553,-7.9912367,-7.799144,59.291195,48.171833,59.416885
2010-04-17 02:58:24.375010,0.147,0.2580299949645996,-8.219877,-0.07999293,-0.0005180473,-8.12441,-8.395148,-8.140074,46.19189,35.550983,46.107723
2010-04-18 14:58:01.874991,0.134,0.25663999557495115,-8.406757,-0.07984207,-0.00055102457,-8.2988405,-8.37196,-8.549474,52.36617,41.249523,52.388813
2010-04-19 02:16:59.998987,0.128,0.2541900062561035,-8.626205,-0.079782575,-0.000577505,-8.583214,-8.714703,-8.580699,39.94971,30.142696,39.93115
2010-04-20 01:56:22.500006,0.122,0.254330005645752,-8.477399,-0.07974807,-0.0006030423,-8.448881,-8.518644,-8.46467,63.27923,52.12428,63.203167
2010-04-20 15:56:35.624993,0.122,0.2704599952697754,-8.445678,-0.07974807,-0.0006030423,-8.486311,-8.310328,-8.540394,55.96094,44.862144,56.070923
2010-04-22 02:54:54.375023,0.119,0.25694000244140625,-8.641103,-0.07966477,-0.00065653987,-8.582709,-8.698429,-8.64217,40.916733,30.958935,40.83475
2010-04-23 14:54:30.000019,0.116,0.2536400032043457,-8.309128,-0.07967254,-0.00068644655,-8.357448,-8.305842,-8.264094,56.30694,45.003704,56.328846
2010-04-24 02:13:30.000005,0.114,0.30038000106811524,-8.3472395,-0.07965341,-0.00072396186,-8.401658,-8.265989,-8.374071,45.15219,34.686302,45.117928
2010-04-25 15:53:05.625006,0.248,0.31239999771118165,-7.831432,-0.07969236,-0.000762663,-7.8362145,-7.838312,-7.819769,52.220886,41.256035,52.32305
