,SSM_IS,TAU,SIG40
2007-04-05 22:49:56.249999,0.1065,0.41541916,-14.695961
2007-04-07 12:29:44.062018,0.0962,0.41574305,-14.802765
2007-04-07 23:48:35.624995,0.0993,0.41574305,-14.68205
2007-04-09 11:48:24.375006,0.0879,0.41584244,-14.819125
2007-04-10 11:27:39.375000,0.0835,0.41574413,-14.427638
2007-04-10 22:46:31.875006,0.0873,0.41574413,-14.726001
2007-04-12 12:26:20.625021,0.0761,0.41547373,-14.73999
2007-04-12 23:45:09.375017,0.0806,0.41547373,-14.83131
2007-04-14 11:44:58.124988,0.0683,0.41516653,-14.731236
2007-04-15 22:43:07.500013,0.0689,0.41487983,-14.710729
2007-04-16 12:43:31.874990,0.0616,0.41461402,-14.508942
2007-04-17 12:22:54.375003,0.0596,0.4143353,-14.664504
2007-04-17 23:41:43.124999,0.0632,0.4143353,-14.990715
2007-04-19 11:41:31.875010,0.0543,0.41368452,-14.920684
2007-04-25 22:36:18.749987,0.0456,0.41181237,-14.673519
2007-04-26 12:36:41.250019,0.0399,0.4115199,-14.725215
2007-04-27 23:34:50.623998,0.3039,0.41116145,-10.398421
2007-04-29 11:34:39.374009,0.3565,0.4104217,-10.14932
2007-04-29 22:53:29.998990,0.3118,0.4104217,-10.510035
2007-05-01 12:33:16.874986,0.253,0.40962887,-11.8468895
2007-05-01 23:52:09.373987,0.2497,0.40962887,-12.35481
2007-05-04 11:31:11.250012,0.2401,0.40836808,-12.866531
2007-05-04 22:50:03.749012,0.2366,0.40836808,-12.4176035
2007-05-06 12:29:50.625008,0.2136,0.40753737,-13.011729
2007-05-06 23:48:41.249990,0.2141,0.40753737,-12.994847
2007-05-08 11:48:29.998995,0.1948,0.40669143,-13.069495
2007-05-09 11:27:44.999994,0.184,0.4062649,-13.127613
2007-05-09 22:46:37.498995,0.1876,0.4062649,-12.954394
2007-05-11 12:26:26.250016,0.1758,0.4056084,-13.203918
2007-05-11 23:45:15.000012,0.1766,0.4056084,-13.092834
2007-05-13 11:45:03.750023,0.1671,0.405078,-13.207783
2007-05-14 22:43:13.124002,0.1625,0.40474555,-12.986318
2007-05-15 12:43:35.624999,0.1581,0.40442926,-12.844265
2007-05-16 12:23:00.000000,0.1545,0.40413165,-13.295079
2007-05-16 23:41:46.875009,0.1546,0.40413165,-13.118156
2007-05-18 11:41:35.624980,0.2957,0.40356466,-10.196485
2007-05-19 22:39:46.874990,0.2669,0.40333685,-11.238324
2007-05-20 12:40:09.374016,0.2607,0.4029668,-11.433276
2007-05-21 23:38:20.624991,0.2618,0.4025715,-11.015655
2007-05-23 11:38:09.375002,0.2595,0.40182593,-11.176164
2007-05-23 22:56:58.124999,0.256,0.40182593,-10.950177
2007-05-24 22:36:20.625012,0.2479,0.4014173,-11.708947
2007-05-25 12:36:44.999023,0.2424,0.40102962,-11.796792
2007-05-25 23:55:39.374980,0.2427,0.40102962,-11.815183
2007-05-26 23:34:52.499023,0.2371,0.40064302,-11.458272
2007-05-28 11:34:40.312004,0.2357,0.39988896,-11.699471
2007-05-28 22:53:31.875021,0.2347,0.39988896,-11.802051
2007-05-30 12:33:18.749005,0.2665,0.39917246,-10.762
2007-05-30 23:52:11.250017,0.2565,0.39917246,-10.921016
2007-06-02 11:31:13.123991,0.2535,0.3981795,-10.928372
2007-06-02 22:50:05.625003,0.2518,0.3981795,-10.942589
2007-06-04 12:29:52.499993,0.2439,0.39762577,-11.18765
2007-06-04 23:48:43.124009,0.2414,0.39762577,-11.140719
2007-06-06 11:48:29.998995,0.2356,0.39701438,-11.514409
2007-06-07 11:27:44.999994,0.2324,0.39673862,-11.699761
2007-06-07 22:46:37.498995,0.2247,0.39673862,-11.627728
2007-06-09 12:26:24.374991,0.2097,0.39626193,-11.852104
2007-06-09 23:45:15.000012,0.2143,0.39626193,-11.789262
2007-06-11 11:45:02.811987,0.2177,0.3957566,-11.259591
2007-06-12 22:43:11.250023,0.2313,0.39551055,-11.95515
2007-06-13 12:43:35.624999,0.2293,0.39526522,-12.094146
2007-06-14 12:22:59.062002,0.2282,0.39505318,-11.833247
2007-06-14 23:41:46.875009,0.2276,0.39505318,-11.966571
2007-06-16 11:41:35.624980,0.2217,0.39472514,-12.22464
2007-06-17 22:39:45.000005,0.2184,0.3945355,-11.913722
2007-06-18 12:40:08.436986,0.2274,0.3943581,-11.599912
2007-06-19 23:38:18.750007,0.2418,0.39417163,-11.094043
2007-06-21 11:38:07.500017,0.2457,0.3937938,-11.751441
2007-06-21 22:56:54.374023,0.2455,0.3937938,-11.927157
2007-06-22 22:36:18.749987,0.2403,0.39366567,-12.669182
2007-06-23 12:36:41.250019,0.2454,0.39360234,-12.636096
2007-06-23 23:55:35.625010,0.2345,0.39360234,-12.112674
2007-06-24 23:34:50.623998,0.2345,0.3935191,-11.888728
2007-06-26 11:34:37.499990,0.2277,0.3934175,-11.83492
2007-06-26 22:53:28.124005,0.2494,0.3934175,-10.66153
2007-06-28 12:33:15.000001,0.2511,0.39330354,-11.511742
2007-06-28 23:52:07.499002,0.2497,0.39330354,-11.602447
2007-07-01 11:31:09.374987,0.2545,0.39323696,-11.356079
2007-07-01 22:50:01.874993,0.2682,0.39323696,-10.811042
2007-07-03 12:29:48.749983,0.2783,0.3931914,-10.735415
2007-07-03 23:48:37.499980,0.2927,0.3931914,-10.245118
2007-07-05 11:48:26.249991,0.2917,0.39318633,-10.224153
2007-07-06 11:27:41.250025,0.2956,0.39323807,-9.747085
2007-07-06 22:46:33.749991,0.2938,0.39323807,-10.457611
2007-07-08 12:26:20.625021,0.2899,0.39339402,-10.819119
2007-07-08 23:45:09.375017,0.2796,0.39339402,-10.774993
2007-07-10 11:44:58.124988,0.271,0.39359385,-11.33905
2007-07-11 22:43:07.500013,0.2657,0.39368886,-11.270822
2007-07-12 12:43:30.000005,0.2666,0.3938102,-11.115734
2007-07-13 12:22:54.375003,0.2626,0.39388588,-11.151418
2007-07-13 23:41:41.249009,0.2614,0.39388588,-11.375824
2007-07-15 11:41:29.999020,0.2571,0.39399782,-11.6330185
2007-07-16 22:39:41.249995,0.257,0.39406294,-11.609502
2007-07-17 12:40:05.625012,0.2636,0.3941719,-10.622026
2007-07-18 23:38:14.998991,0.2637,0.39428306,-11.219081
2007-07-20 11:38:03.749002,0.2587,0.3944544,-11.798943
2007-07-20 22:56:52.498998,0.2574,0.3944544,-11.55724
2007-07-22 12:36:39.374994,0.2519,0.39458218,-11.836746
2007-07-22 23:55:33.749020,0.2518,0.39458218,-11.776319
2007-07-23 23:34:48.750019,0.2495,0.3946774,-11.676602
2007-07-25 11:34:37.499990,0.2429,0.39488456,-11.631485
2007-07-25 22:53:26.249986,0.2445,0.39488456,-11.69033
2007-07-27 12:33:15.000001,0.2643,0.3950786,-10.705394
2007-07-27 23:52:07.499002,0.2762,0.3950786,-11.102706
2007-07-30 11:31:09.374987,0.2766,0.39545017,-11.547032
2007-07-30 22:50:01.874993,0.2788,0.39545017,-11.543361
2007-08-01 12:29:48.749983,0.2973,0.39564657,-11.030792
2007-08-01 23:48:39.375005,0.2941,0.39564657,-10.809726
2007-08-03 11:48:28.125016,0.2856,0.3959272,-11.363644
2007-08-04 11:27:43.125009,0.2784,0.3961402,-11.605935
2007-08-04 22:46:35.625016,0.2825,0.3961402,-11.1756315
2007-08-06 12:26:22.500006,0.2796,0.39661852,-11.516116
2007-08-06 23:45:11.250002,0.2773,0.39661852,-11.405739
2007-08-08 11:45:01.874998,0.2717,0.39711636,-11.61953
2007-08-09 22:43:09.374998,0.2611,0.3974126,-11.6767
2007-08-10 12:43:33.749009,0.2518,0.3977582,-11.70364
2007-08-11 12:22:56.249988,0.2473,0.39810556,-11.774979
2007-08-11 23:41:45.000025,0.2475,0.39810556,-11.751195
2007-08-13 11:41:33.749995,0.2306,0.39882,-12.251655
2007-08-14 22:39:45.000005,0.2224,0.39921972,-11.909874
2007-08-15 12:40:07.499997,0.2171,0.39969125,-12.148763
2007-08-16 23:38:16.874016,0.2624,0.4001997,-11.120636
2007-08-18 11:38:05.623987,0.2561,0.40119353,-11.271815
2007-08-18 22:56:54.374023,0.2547,0.40119353,-11.199665
2007-08-19 22:36:18.749987,0.2519,0.40170205,-11.366948
2007-08-20 12:36:41.250019,0.245,0.40228117,-11.671777
2007-08-20 23:55:35.625010,0.2452,0.40228117,-11.533928
2007-08-21 23:34:50.623998,0.2369,0.40292642,-11.7879
