,SSM_IS,TAU,SIG40
2009-09-06 03:12:54.374999,0.189,0.42364106,-9.178628
2009-09-07 15:12:13.124005,0.217,0.42348498,-8.907157
2009-09-09 02:10:52.499994,0.243,0.42288807,-9.12567
2009-09-11 03:09:24.374005,0.217,0.42254862,-9.190282
2009-09-12 15:08:43.124983,0.21,0.42231208,-8.976768
2009-09-13 02:28:00.000000,0.202,0.42205998,-9.2364
2009-09-14 02:07:22.500007,0.193,0.42166334,-9.331837
2009-09-14 16:07:18.750010,0.192,0.42166334,-9.188916
2009-09-16 03:05:54.374983,0.297,0.42141435,-8.768657
2009-09-17 15:05:13.123990,0.352,0.42128655,-8.51365
2009-09-18 02:24:31.874991,0.365,0.42110637,-8.0540085
2009-09-19 16:03:50.624002,0.336,0.42087826,-8.719031
2009-09-20 03:23:13.125012,0.333,0.42066047,-8.578487
2009-09-21 03:02:28.125006,0.358,0.42050087,-7.959764
2009-09-22 15:01:46.874012,0.365,0.4203897,-8.787772
2009-09-23 02:21:07.499998,0.348,0.4202294,-8.73652
2009-09-24 16:00:26.249009,0.333,0.42002898,-8.817433
2009-09-25 03:19:46.874994,0.322,0.41969946,-8.326149
2009-09-26 15:19:05.625007,0.371,0.41940013,-7.854507
2009-09-27 14:58:20.625000,0.424,0.41915774,-8.904994
2009-09-28 02:17:43.125005,0.395,0.41901478,-9.044707
2009-09-29 15:57:01.874016,0.368,0.4187838,-9.433709
2009-09-30 03:16:20.624976,0.358,0.4185465,-9.522599
2009-10-01 15:15:41.250014,0.344,0.41831642,-9.393141
2009-10-03 02:14:19.687002,0.34,0.41794002,-9.526357
2009-10-03 16:14:15.000016,0.336,0.41794002,-9.359435
2009-10-04 15:53:37.499023,0.319,0.417685,-9.4713745
2009-10-05 03:12:54.374999,0.397,0.41725254,-8.4694395
2009-10-06 15:12:14.998990,0.371,0.41667044,-9.330306
2009-10-08 02:10:54.375019,0.381,0.41571718,-9.48462
2009-10-08 16:10:50.625023,0.374,0.41571718,-9.205552
2009-10-10 03:09:30.000006,0.431,0.41479588,-8.312097
2009-10-11 15:08:48.749012,0.384,0.41428342,-9.34634
2009-10-12 02:28:05.624988,0.377,0.41369858,-9.31783
2009-10-13 02:07:29.999986,0.414,0.4129919,-9.261453
2009-10-13 16:07:26.249990,0.398,0.4129919,-9.17622
2009-10-18 16:04:01.874997,0.428,0.41039956,-9.385753
2009-10-19 03:23:22.499976,0.423,0.40982673,-10.041591
2009-10-20 03:02:37.500010,0.407,0.40927744,-9.638289
2009-10-21 15:01:56.250023,0.398,0.4086719,-9.378818
2009-10-22 02:21:16.875002,0.391,0.40813175,-9.34013
2009-10-23 16:00:35.625019,0.412,0.4075148,-8.813437
2009-10-24 03:19:56.249999,0.403,0.40695152,-9.137951
2009-10-25 15:19:14.999005,0.399,0.40638748,-9.248998
2009-10-26 14:58:30.000005,0.393,0.40587682,-9.366281
2009-10-27 02:17:52.500009,0.386,0.40560707,-9.392564
2009-10-28 15:57:11.249986,0.43,0.40530312,-8.820496
2009-10-29 03:16:30.000021,0.42,0.40503412,-9.132176
2009-10-30 15:15:48.749993,0.411,0.4047205,-8.77271
2009-11-01 16:14:22.499995,0.431,0.40435398,-8.950513
2009-11-02 15:53:45.000008,0.419,0.4041319,-8.718662
2009-11-03 03:13:03.750003,0.413,0.40379742,-9.106195
2009-11-04 15:12:22.500016,0.401,0.40343335,-9.063973
2009-11-06 02:11:01.874999,0.387,0.4028909,-9.153954
2009-11-06 16:10:56.250017,0.387,0.4028909,-9.030102
2009-11-08 03:09:35.625000,0.365,0.40236545,-8.910508
2009-11-09 15:08:56.249998,0.358,0.4019461,-9.169029
2009-11-10 02:28:13.125008,0.356,0.40155795,-8.982049
